user_id,session_id,days_in_base,session_qty_acc,add_to_cart_qty_acc,page_pdp_qty_acc,page_plp_qty_acc,page_search_plp_qty_acc,bounce_sessions_qty_acc,navigation_time_acc,is_next_session_activation
10020612649726787735u,10101053617586389067s,0.00021990714594721794,1,0,2,0,0,0,19.0,1
10041641363804945509u,11031977414104065912s,0.0014467593282461166,1,0,2,0,0,0,125.0,1
10061146611389501345u,13841203550317519321s,0.00010416656732559204,1,0,0,2,0,0,9.0,1
10106794151185573609u,4352180653544790743s,0.0007060184143483639,1,0,4,0,0,0,61.0,1
10106972389836326507u,15130917214999659073s,0.0,1,0,1,0,0,1,0.0,0
10106972389836326507u,16794246168270384424s,1.7833680557087064,2,0,5,0,5,1,433.0,0
10106972389836326507u,14604286789871451671s,1.9803935186937451,3,4,6,2,12,1,4648.0,1
10112830257332897075u,18405104293148589323s,0.00048611126840114594,1,0,2,0,0,0,42.0,1
10127857181456925908u,7539012237420418616s,0.034351852256804705,1,5,10,0,9,0,2968.0,1
10129327945388707554u,1358157276379965352s,0.0,1,0,1,0,0,1,0.0,1
10131583284383632431u,4772890110168159133s,0.009780092630535364,1,1,3,1,3,0,845.0,0
10131583284383632431u,13655393438823998361s,0.10961805563420057,2,1,4,2,3,0,1338.0,0
10131583284383632431u,8711928782254424288s,0.7004282409325242,3,1,5,2,3,1,1338.0,1
10144738802759933664u,1579549032155535529s,0.0,1,0,1,0,0,1,0.0,1
10150598504443443639u,2178285189947883065s,0.0,1,0,1,0,0,1,0.0,1
10181279604212069605u,13789690985190274940s,0.0007986109703779221,1,1,2,0,0,0,69.0,1
10186045539195941216u,8406688446423883148s,0.0008912035264074802,1,0,3,0,0,0,77.0,0
10186045539195941216u,10048766688048049634s,0.17802083352580667,2,2,10,1,2,0,344.0,0
10186045539195941216u,3149613296249192347s,0.39341435208916664,3,3,14,1,2,0,458.0,1
10204416466386845920u,10662481814835868306s,0.002314814832061529,1,2,3,0,0,0,200.0,1
10209867883061743447u,16817944055060791405s,0.0,1,0,1,0,0,1,0.0,1
10217082910277807869u,5495376841380159474s,0.0,1,0,0,1,0,1,0.0,1
10261599777773848018u,7092609848646691770s,0.0,1,0,0,1,0,1,0.0,1
10267292345313031813u,10367612404502769868s,0.0,1,0,0,1,0,1,0.0,1
10288705626940626661u,7224172412718363734s,0.02453703712671995,1,1,0,26,0,0,2120.0,1
10289252054886527110u,10634989946729502892s,0.0,1,0,1,0,0,1,0.0,1
