session_date,page_type,session_qty,session_converted_qty,pageview_event_qty,atc_event_qty,landing_session_qty,landing_session_converted_qty,landing_session_duration_acc,exit_session_qty,bounce_session_qty,session_qty_total,pageview_event_qty_total,atc_event_qty_total
2022-09-30,listing_page,17194,226,20865,33,16954,133,1354496.0,16281,14381,28370,44971,908
2022-09-30,order_page,429,429,0,0,77,77,4517.0,288,54,28370,44971,908
2022-09-30,product_page,11262,282,17710,720,10379,192,921749.0,10490,7775,28370,44971,908
2022-09-30,search_listing_page,1922,121,6396,155,960,27,312046.0,1311,384,28370,44971,908
2022-10-01,listing_page,15750,174,19163,23,15526,95,1298218.0,14928,13017,26300,41328,843
2022-10-01,order_page,373,373,0,0,69,69,7299.0,266,46,26300,41328,843
2022-10-01,product_page,10674,260,16757,654,9865,177,904858.0,9955,7462,26300,41328,843
2022-10-01,search_listing_page,1682,106,5408,166,840,32,268351.0,1151,299,26300,41328,843
2022-10-02,listing_page,16055,174,19776,23,15820,95,1342360.0,15231,13300,26270,42070,821
2022-10-02,order_page,350,350,0,0,70,70,5758.0,233,40,26270,42070,821
2022-10-02,product_page,10428,243,16872,669,9614,157,997682.0,9717,7113,26270,42070,821
2022-10-02,search_listing_page,1632,105,5422,129,766,28,182816.0,1089,306,26270,42070,821
2022-10-03,listing_page,16623,289,20199,54,16344,186,1476101.0,15588,13618,28651,47176,1123
2022-10-03,order_page,538,538,0,0,91,91,8949.0,368,63,28651,47176,1123
2022-10-03,product_page,12251,366,20090,881,11241,230,1193249.0,11338,8242,28651,47176,1123
2022-10-03,search_listing_page,2053,158,6887,188,975,31,279975.0,1357,354,28651,47176,1123
2022-10-04,listing_page,14507,290,18338,40,14225,185,1545415.0,13207,11168,26820,46245,1206
2022-10-04,order_page,588,588,0,0,104,104,15245.0,438,78,26820,46245,1206
2022-10-04,product_page,12491,394,20251,929,11310,256,1124308.0,11500,8095,26820,46245,1206
2022-10-04,search_listing_page,2480,164,7656,237,1181,43,313722.0,1675,451,26820,46245,1206
2022-10-05,listing_page,13600,311,17531,41,13295,193,1486389.0,12324,10368,25232,46137,1262
2022-10-05,order_page,623,623,0,0,125,125,14744.0,444,85,25232,46137,1262
2022-10-05,product_page,11819,407,19942,969,10631,264,1180129.0,10771,7415,25232,46137,1262
2022-10-05,search_listing_page,2508,172,8664,252,1181,41,307251.0,1693,479,25232,46137,1262
2022-10-06,listing_page,10675,280,14564,46,10379,163,1228096.0,9386,7607,22123,41994,1134
2022-10-06,order_page,542,542,0,0,115,115,15673.0,355,77,22123,41994,1134
2022-10-06,product_page,11589,338,19046,818,10437,220,1126316.0,10700,7492,22123,41994,1134
2022-10-06,search_listing_page,2447,132,8384,270,1192,44,361903.0,1682,463,22123,41994,1134
2022-10-07,listing_page,8102,231,11100,51,7853,133,1049290.0,6981,5564,18316,35298,1048
2022-10-07,order_page,468,468,0,0,95,95,14047.0,326,53,18316,35298,1048
2022-10-07,product_page,10362,300,16955,752,9333,203,967755.0,9553,6701,18316,35298,1048
2022-10-07,search_listing_page,2116,121,7243,245,1035,37,272879.0,1456,428,18316,35298,1048
2022-10-08,listing_page,8565,232,10979,26,8323,138,969045.0,7591,6339,18130,34478,943
2022-10-08,order_page,467,467,0,0,78,78,9290.0,320,48,18130,34478,943
2022-10-08,product_page,9786,323,16809,737,8816,223,1021902.0,8957,6216,18130,34478,943
2022-10-08,search_listing_page,1910,109,6690,180,913,28,246820.0,1262,333,18130,34478,943
2022-10-09,listing_page,9250,275,11913,29,8978,159,1142192.0,8084,6759,19550,37692,1085
2022-10-09,order_page,505,505,0,0,79,79,9269.0,341,49,19550,37692,1085
2022-10-09,product_page,10709,362,18570,797,9583,229,1200360.0,9787,6701,19550,37692,1085
2022-10-09,search_listing_page,2067,147,7209,259,910,38,235148.0,1338,332,19550,37692,1085
2022-10-10,listing_page,12029,379,15593,39,11640,220,1465807.0,10458,8589,25451,50381,1505
2022-10-10,order_page,726,726,0,0,122,122,10736.0,505,91,25451,50381,1505
2022-10-10,product_page,13802,491,24149,1165,12342,324,1594631.0,12526,8295,25451,50381,1505
2022-10-10,search_listing_page,2969,209,10639,301,1347,60,385294.0,1962,524,25451,50381,1505
2022-10-11,listing_page,12197,400,15960,38,11821,241,1494767.0,10533,8617,25590,49754,1454
2022-10-11,order_page,778,778,0,0,149,149,14921.0,556,105,25590,49754,1454
2022-10-11,product_page,13768,503,23260,1123,12361,348,1475285.0,12496,8496,25590,49754,1454
2022-10-11,search_listing_page,2975,193,10534,293,1259,40,351519.0,2005,508,25590,49754,1454
2022-10-12,listing_page,13476,338,17390,41,13112,208,1485473.0,11885,9896,25342,47686,1329
2022-10-12,order_page,638,638,0,0,120,120,13745.0,454,83,25342,47686,1329
2022-10-12,product_page,12204,413,20574,1011,10755,261,1242282.0,11051,7560,25342,47686,1329
2022-10-12,search_listing_page,2904,185,9722,277,1355,49,395463.0,1952,491,25342,47686,1329
2022-10-13,listing_page,12907,336,17892,42,12562,209,1428844.0,11364,9378,24298,47288,1338
2022-10-13,order_page,612,612,0,0,105,105,13863.0,416,71,24298,47288,1338
2022-10-13,product_page,11711,412,19765,975,10257,257,1137905.0,10603,7231,24298,47288,1338
2022-10-13,search_listing_page,2833,169,9631,321,1374,41,403443.0,1915,544,24298,47288,1338
