first_sesssion_date,session_number_max,session_number_1st_order,users,users_with_order,session_qty,order_qty,pivot_users_aux
2022-09-30,1,1,278,278,278,313,22210
2022-09-30,1,No Order,21932,0,21932,0,22210
2022-09-30,2,1,55,55,110,68,2358
2022-09-30,2,2,41,41,82,47,2358
2022-09-30,2,No Order,2262,0,4524,0,2358
2022-09-30,3,1,25,25,75,40,779
2022-09-30,3,2,15,15,45,18,779
2022-09-30,3,3,19,19,57,21,779
2022-09-30,3,No Order,720,0,2160,0,779
2022-09-30,4,1,13,13,52,24,364
2022-09-30,4,2,6,6,24,13,364
2022-09-30,4,3,6,6,24,6,364
2022-09-30,4,4,6,6,24,6,364
2022-09-30,4,No Order,333,0,1332,0,364
2022-09-30,5,1,7,7,35,15,224
2022-09-30,5,2,2,2,10,2,224
2022-09-30,5,3,4,4,20,4,224
2022-09-30,5,4,4,4,20,4,224
2022-09-30,5,5+,4,4,20,4,224
2022-09-30,5,No Order,203,0,1015,0,224
2022-09-30,6,1,5,5,30,9,155
2022-09-30,6,2,2,2,12,4,155
2022-09-30,6,3,2,2,12,2,155
2022-09-30,6,4,2,2,12,3,155
2022-09-30,6,5+,6,6,36,6,155
2022-09-30,6,No Order,138,0,828,0,155
2022-09-30,7,1,2,2,14,4,91
2022-09-30,7,2,1,1,7,2,91
2022-09-30,7,3,1,1,7,1,91
2022-09-30,7,5+,5,5,35,7,91
2022-09-30,7,No Order,82,0,574,0,91
2022-09-30,8,1,2,2,16,3,69
2022-09-30,8,2,1,1,8,1,69
2022-09-30,8,3,1,1,8,1,69
2022-09-30,8,5+,4,4,32,5,69
2022-09-30,8,No Order,61,0,488,0,69
2022-09-30,9,4,1,1,9,2,43
2022-09-30,9,5+,2,2,18,2,43
2022-09-30,9,No Order,40,0,360,0,43
2022-09-30,10,1,1,1,10,2,57
2022-09-30,10,3,1,1,10,2,57
2022-09-30,10,5+,4,4,40,4,57
2022-09-30,10,No Order,51,0,510,0,57
2022-09-30,11,2,1,1,11,1,36
2022-09-30,11,3,1,1,11,3,36
2022-09-30,11,No Order,34,0,374,0,36
2022-09-30,12,5+,3,3,36,3,31
2022-09-30,12,No Order,28,0,336,0,31
2022-09-30,13,3,1,1,13,3,26
2022-09-30,13,No Order,25,0,325,0,26
2022-09-30,14,5+,1,1,14,2,19
2022-09-30,14,No Order,18,0,252,0,19
2022-09-30,15,5+,1,1,15,1,15
2022-09-30,15,No Order,14,0,210,0,15
2022-09-30,16,5+,2,2,32,3,13
2022-09-30,16,No Order,11,0,176,0,13
2022-09-30,17,No Order,6,0,102,0,6
2022-09-30,18,No Order,6,0,108,0,6
2022-09-30,19,5+,1,1,19,1,6
2022-09-30,19,No Order,5,0,95,0,6
2022-09-30,20,5+,1,1,20,2,5
2022-09-30,20,No Order,4,0,80,0,5
2022-09-30,21,5+,1,1,21,2,8
2022-09-30,21,No Order,7,0,147,0,8
2022-09-30,23,No Order,4,0,92,0,4
2022-09-30,24,No Order,4,0,96,0,4
2022-09-30,25,No Order,2,0,50,0,2
2022-09-30,26,No Order,2,0,52,0,2
2022-09-30,27,No Order,4,0,108,0,4
2022-09-30,28,No Order,3,0,84,0,3
2022-09-30,29,No Order,3,0,87,0,3
2022-09-30,30,No Order,2,0,60,0,2
2022-09-30,31,No Order,2,0,62,0,2
2022-09-30,32,No Order,1,0,32,0,1
2022-09-30,33,No Order,2,0,66,0,2
2022-09-30,35,No Order,1,0,35,0,1
2022-09-30,39,No Order,1,0,39,0,1
2022-09-30,40,No Order,2,0,80,0,2
2022-09-30,45,No Order,1,0,45,0,1
2022-09-30,46,No Order,3,0,138,0,3
2022-09-30,48,No Order,1,0,48,0,1
2022-09-30,50,No Order,1,0,50,0,1
2022-09-30,53,No Order,1,0,53,0,1
2022-09-30,54,No Order,1,0,54,0,1
2022-09-30,58,No Order,1,0,58,0,1
2022-09-30,61,No Order,1,0,61,0,1
2022-09-30,70,No Order,1,0,70,0,1
2022-09-30,75,No Order,1,0,75,0,1
2022-10-01,1,1,246,246,246,272,20079
2022-10-01,1,No Order,19833,0,19833,0,20079
2022-10-01,2,1,40,40,80,59,2057
2022-10-01,2,2,44,44,88,50,2057
2022-10-01,2,No Order,1973,0,3946,0,2057
2022-10-01,3,1,12,12,36,15,593
2022-10-01,3,2,13,13,39,17,593
2022-10-01,3,3,18,18,54,22,593
2022-10-01,3,No Order,550,0,1650,0,593
2022-10-01,4,1,7,7,28,10,222
2022-10-01,4,2,3,3,12,4,222
2022-10-01,4,3,10,10,40,14,222
2022-10-01,4,4,4,4,16,4,222
2022-10-01,4,No Order,198,0,792,0,222
2022-10-01,5,2,4,4,20,5,119
2022-10-01,5,4,3,3,15,4,119
2022-10-01,5,5+,3,3,15,3,119
2022-10-01,5,No Order,109,0,545,0,119
2022-10-01,6,1,1,1,6,1,75
2022-10-01,6,2,1,1,6,2,75
2022-10-01,6,4,1,1,6,1,75
2022-10-01,6,5+,3,3,18,4,75
2022-10-01,6,No Order,69,0,414,0,75
2022-10-01,7,1,2,2,14,3,52
2022-10-01,7,2,1,1,7,6,52
2022-10-01,7,3,1,1,7,2,52
2022-10-01,7,4,1,1,7,1,52
2022-10-01,7,5+,1,1,7,1,52
2022-10-01,7,No Order,46,0,322,0,52
2022-10-01,8,1,1,1,8,2,32
2022-10-01,8,2,2,2,16,2,32
2022-10-01,8,4,1,1,8,1,32
2022-10-01,8,5+,1,1,8,1,32
2022-10-01,8,No Order,27,0,216,0,32
2022-10-01,9,No Order,27,0,243,0,27
2022-10-01,10,2,1,1,10,1,14
2022-10-01,10,5+,2,2,20,2,14
2022-10-01,10,No Order,11,0,110,0,14
2022-10-01,11,2,1,1,11,1,8
2022-10-01,11,No Order,7,0,77,0,8
2022-10-01,12,No Order,4,0,48,0,4
2022-10-01,13,No Order,2,0,26,0,2
2022-10-01,14,No Order,2,0,28,0,2
2022-10-01,15,No Order,4,0,60,0,4
2022-10-01,16,No Order,4,0,64,0,4
2022-10-01,17,5+,1,1,17,2,2
2022-10-01,17,No Order,1,0,17,0,2
2022-10-01,19,No Order,1,0,19,0,1
2022-10-01,20,No Order,2,0,40,0,2
2022-10-01,21,No Order,1,0,21,0,1
2022-10-01,22,No Order,1,0,22,0,1
2022-10-01,25,No Order,2,0,50,0,2
2022-10-01,26,No Order,1,0,26,0,1
2022-10-01,27,No Order,1,0,27,0,1
2022-10-01,29,No Order,1,0,29,0,1
2022-10-01,30,No Order,1,0,30,0,1
2022-10-01,34,No Order,1,0,34,0,1
2022-10-01,35,No Order,1,0,35,0,1
2022-10-01,42,No Order,1,0,42,0,1
2022-10-01,45,No Order,1,0,45,0,1
2022-10-02,1,1,225,225,225,244,20059
2022-10-02,1,No Order,19834,0,19834,0,20059
2022-10-02,2,1,40,40,80,54,1856
2022-10-02,2,2,40,40,80,43,1856
2022-10-02,2,No Order,1776,0,3552,0,1856
2022-10-02,3,1,21,21,63,26,488
2022-10-02,3,2,13,13,39,17,488
2022-10-02,3,3,15,15,45,15,488
2022-10-02,3,No Order,439,0,1317,0,488
2022-10-02,4,1,1,1,4,1,178
2022-10-02,4,2,5,5,20,9,178
2022-10-02,4,3,9,9,36,15,178
2022-10-02,4,4,7,7,28,10,178
2022-10-02,4,No Order,156,0,624,0,178
2022-10-02,5,1,2,2,10,7,93
2022-10-02,5,2,4,4,20,4,93
2022-10-02,5,3,2,2,10,2,93
2022-10-02,5,4,3,3,15,4,93
2022-10-02,5,No Order,82,0,410,0,93
2022-10-02,6,2,1,1,6,1,46
2022-10-02,6,3,1,1,6,1,46
2022-10-02,6,5+,2,2,12,2,46
2022-10-02,6,No Order,42,0,252,0,46
2022-10-02,7,2,3,3,21,5,31
2022-10-02,7,4,1,1,7,8,31
2022-10-02,7,5+,2,2,14,4,31
2022-10-02,7,No Order,25,0,175,0,31
2022-10-02,8,5+,3,3,24,11,12
2022-10-02,8,No Order,9,0,72,0,12
2022-10-02,9,1,2,2,18,6,12
2022-10-02,9,No Order,10,0,90,0,12
2022-10-02,10,No Order,4,0,40,0,4
2022-10-02,11,3,1,1,11,1,7
2022-10-02,11,5+,1,1,11,1,7
2022-10-02,11,No Order,5,0,55,0,7
2022-10-02,12,No Order,5,0,60,0,5
2022-10-02,13,No Order,3,0,39,0,3
2022-10-02,14,5+,1,1,14,1,2
2022-10-02,14,No Order,1,0,14,0,2
2022-10-02,16,2,1,1,16,2,2
2022-10-02,16,No Order,1,0,16,0,2
2022-10-02,20,No Order,1,0,20,0,1
2022-10-02,21,No Order,1,0,21,0,1
2022-10-02,22,No Order,1,0,22,0,1
2022-10-03,1,1,332,332,332,377,21518
2022-10-03,1,No Order,21186,0,21186,0,21518
2022-10-03,2,1,69,69,138,83,1786
2022-10-03,2,2,56,56,112,67,1786
2022-10-03,2,No Order,1661,0,3322,0,1786
2022-10-03,3,1,14,14,42,17,463
2022-10-03,3,2,11,11,33,12,463
2022-10-03,3,3,5,5,15,6,463
2022-10-03,3,No Order,433,0,1299,0,463
2022-10-03,4,1,6,6,24,8,194
2022-10-03,4,2,8,8,32,11,194
2022-10-03,4,3,6,6,24,17,194
2022-10-03,4,4,3,3,12,3,194
2022-10-03,4,No Order,171,0,684,0,194
2022-10-03,5,1,6,6,30,12,82
2022-10-03,5,2,2,2,10,2,82
2022-10-03,5,3,1,1,5,1,82
2022-10-03,5,4,1,1,5,1,82
2022-10-03,5,No Order,72,0,360,0,82
2022-10-03,6,1,5,5,30,7,54
2022-10-03,6,2,3,3,18,4,54
2022-10-03,6,4,3,3,18,4,54
2022-10-03,6,5+,1,1,6,1,54
2022-10-03,6,No Order,42,0,252,0,54
2022-10-03,7,2,1,1,7,2,18
2022-10-03,7,4,1,1,7,1,18
2022-10-03,7,No Order,16,0,112,0,18
2022-10-03,8,4,1,1,8,1,9
2022-10-03,8,5+,1,1,8,1,9
2022-10-03,8,No Order,7,0,56,0,9
2022-10-03,9,2,1,1,9,2,6
2022-10-03,9,5+,1,1,9,2,6
2022-10-03,9,No Order,4,0,36,0,6
2022-10-03,10,5+,1,1,10,1,4
2022-10-03,10,No Order,3,0,30,0,4
2022-10-03,11,No Order,4,0,44,0,4
2022-10-03,13,No Order,1,0,13,0,1
2022-10-03,14,No Order,2,0,28,0,2
2022-10-03,15,No Order,1,0,15,0,1
2022-10-03,16,No Order,1,0,16,0,1
2022-10-03,17,No Order,1,0,17,0,1
2022-10-03,18,No Order,1,0,18,0,1
2022-10-03,19,1,1,1,19,12,1
2022-10-03,20,No Order,1,0,20,0,1
2022-10-03,24,No Order,1,0,24,0,1
2022-10-03,25,5+,1,1,25,2,1
2022-10-03,32,No Order,1,0,32,0,1
2022-10-04,1,1,339,339,339,378,19798
2022-10-04,1,No Order,19459,0,19459,0,19798
2022-10-04,2,1,63,63,126,80,1826
2022-10-04,2,2,54,54,108,58,1826
2022-10-04,2,No Order,1709,0,3418,0,1826
2022-10-04,3,1,30,30,90,41,465
2022-10-04,3,2,22,22,66,27,465
2022-10-04,3,3,15,15,45,21,465
2022-10-04,3,No Order,398,0,1194,0,465
2022-10-04,4,1,11,11,44,18,155
2022-10-04,4,2,7,7,28,8,155
2022-10-04,4,3,8,8,32,9,155
2022-10-04,4,4,3,3,12,3,155
2022-10-04,4,No Order,126,0,504,0,155
2022-10-04,5,1,6,6,30,7,71
2022-10-04,5,2,2,2,10,4,71
2022-10-04,5,5+,1,1,5,1,71
2022-10-04,5,No Order,62,0,310,0,71
2022-10-04,6,1,4,4,24,8,38
2022-10-04,6,2,2,2,12,2,38
2022-10-04,6,3,1,1,6,1,38
2022-10-04,6,4,1,1,6,3,38
2022-10-04,6,5+,4,4,24,4,38
2022-10-04,6,No Order,26,0,156,0,38
2022-10-04,7,1,2,2,14,2,27
2022-10-04,7,2,3,3,21,11,27
2022-10-04,7,3,1,1,7,3,27
2022-10-04,7,4,2,2,14,2,27
2022-10-04,7,5+,4,4,28,6,27
2022-10-04,7,No Order,15,0,105,0,27
2022-10-04,8,2,1,1,8,2,14
2022-10-04,8,5+,3,3,24,3,14
2022-10-04,8,No Order,10,0,80,0,14
2022-10-04,9,2,1,1,9,1,5
2022-10-04,9,No Order,4,0,36,0,5
2022-10-04,10,1,1,1,10,8,4
